# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.33
2                       4.69
4                       9.27
8                      18.52
16                     36.94
32                     71.65
64                    138.06
128                   272.29
256                   545.16
512                   941.46
1024                 1746.53
2048                 3114.08
4096                 2561.46
8192                 4250.22
16384                6764.39
32768                9013.95
65536               10203.88
131072              10506.34
262144              10713.79
524288              10882.96
1048576             10917.28
2097152             10872.63
4194304             10853.64
