# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.26
2                       4.51
4                       8.96
8                      17.92
16                     35.61
32                     69.46
64                    134.81
128                   269.18
256                   538.77
512                   957.26
1024                 1775.87
2048                 3229.30
4096                 2649.57
8192                 4374.95
16384                6817.54
32768                9012.29
65536               10182.15
131072              10511.84
262144              10691.43
524288              10857.59
1048576             10874.43
2097152             10824.31
4194304             10810.52
