# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.70
2                       0.69
4                       0.68
8                       0.68
16                      0.67
32                      0.68
64                      0.66
128                     0.74
256                     0.74
512                     0.93
1024                    1.03
2048                    1.15
4096                    2.03
8192                    2.87
16384                   4.29
32768                   6.48
65536                   9.49
131072                 15.58
262144                 27.23
524288                 52.43
1048576               109.99
2097152               225.64
4194304               451.90
