# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.83
2                       5.70
4                      11.54
8                      22.87
16                     45.58
32                     92.18
64                    182.72
128                   343.82
256                   618.42
512                  1038.15
1024                 1900.13
2048                 3388.21
4096                 2915.21
8192                 4698.43
16384                7338.45
32768                9413.58
65536               10639.03
131072              10776.22
262144              10943.68
524288              11018.38
1048576             11058.11
2097152             11092.61
4194304             11101.76
