# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       1.95        1950163.45
2                       3.94        1971948.60
4                       7.84        1960922.91
8                      15.71        1963503.92
16                     31.02        1938626.60
32                     62.52        1953753.08
64                    123.42        1928474.10
128                   241.18        1884243.95
256                   487.73        1905180.65
512                   907.89        1773224.43
1024                 1686.07        1646552.06
2048                 3174.98        1550281.58
4096                 2741.29         669259.55
8192                 4463.01         544800.87
16384                6805.31         415363.32
32768                8875.63         270862.62
65536                9967.05         152085.18
131072              10457.57          79784.93
262144              10661.79          40671.48
524288              10783.88          20568.62
1048576             10867.07          10363.64
2097152             10841.75           5169.75
4194304             10829.21           2581.89
