# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.67
2                       0.62
4                       0.62
8                       0.63
16                      0.62
32                      0.62
64                      0.62
128                     0.66
256                     0.70
512                     0.81
1024                    0.86
2048                    1.00
4096                    1.99
8192                    2.75
16384                   4.20
32768                   6.49
65536                   9.43
131072                 15.11
262144                 27.18
524288                 51.08
1048576               109.70
2097152               224.91
4194304               447.23
