# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.65
2                       0.68
4                       0.65
8                       0.66
16                      0.66
32                      0.69
64                      0.63
128                     0.74
256                     0.78
512                     0.94
1024                    1.01
2048                    1.13
4096                    2.08
8192                    2.85
16384                   4.29
32768                   6.44
65536                   9.54
131072                 15.80
262144                 27.64
524288                 52.61
1048576               111.15
2097152               227.00
4194304               453.69
