# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       1.96        1962209.26
2                       3.91        1956403.38
4                       7.80        1949275.82
8                      15.49        1936834.21
16                     31.07        1941924.21
32                     61.47        1920951.18
64                    121.70        1901621.57
128                   229.54        1793253.30
256                   464.97        1816292.41
512                   923.04        1802809.74
1024                 1727.19        1686709.88
2048                 3101.25        1514280.02
4096                 2662.14         649935.35
8192                 4356.97         531856.35
16384                6670.74         407149.80
32768                8732.96         266508.87
65536                9966.58         152077.95
131072              10489.59          80029.25
262144              10725.62          40914.99
524288              10861.04          20715.80
1048576             10974.11          10465.73
2097152             10905.21           5200.01
4194304             10879.34           2593.84
