# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.22
2                       4.54
4                       8.91
8                      17.86
16                     35.23
32                     69.94
64                    133.26
128                   264.22
256                   532.45
512                   955.69
1024                 1777.73
2048                 3252.43
4096                 2694.25
8192                 4403.95
16384                6766.92
32768                9031.62
65536               10211.55
131072              10524.00
262144              10698.30
524288              10851.66
1048576             10901.66
2097152             10835.86
4194304             10814.25
