# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.69
2                       0.69
4                       0.68
8                       0.68
16                      0.70
32                      0.68
64                      0.67
128                     0.74
256                     0.81
512                     0.98
1024                    1.04
2048                    1.20
4096                    2.08
8192                    2.98
16384                   4.39
32768                   6.56
65536                   9.61
131072                 15.81
262144                 27.43
524288                 51.87
1048576               109.62
2097152               226.52
4194304               455.09
