# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.79
2                       5.61
4                      11.24
8                      22.19
16                     44.76
32                     89.76
64                    179.37
128                   337.72
256                   608.48
512                  1006.09
1024                 1853.25
2048                 3274.46
4096                 2818.24
8192                 4391.11
16384                7319.23
32768                9387.50
65536               10646.44
131072              10746.64
262144              10892.68
524288              10954.24
1048576             10988.83
2097152             11021.25
4194304             11026.94
