# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.33
2                       4.63
4                       9.26
8                      18.48
16                     36.80
32                     71.85
64                    137.21
128                   272.48
256                   543.42
512                   923.45
1024                 1714.28
2048                 3092.57
4096                 2595.26
8192                 4327.91
16384                6867.20
32768                9031.12
65536               10176.73
131072              10490.74
262144              10651.33
524288              10824.52
1048576             10884.84
2097152             10854.23
4194304             10814.76
