# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.71
2                       5.53
4                      11.07
8                      22.37
16                     44.55
32                     88.63
64                    178.04
128                   331.20
256                   602.94
512                  1007.40
1024                 1839.07
2048                 3298.22
4096                 2936.35
8192                 4637.57
16384                7285.46
32768                9344.10
65536               10567.46
131072              10690.24
262144              10845.95
524288              10927.99
1048576             10973.33
2097152             11005.25
4194304             11013.61
