# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       2.48        2484084.01
2                       5.20        2600027.42
4                      10.57        2641901.70
8                      20.97        2620730.18
16                     41.97        2622998.87
32                     83.89        2621406.66
64                    168.86        2638442.04
128                   314.93        2460354.27
256                   582.75        2276350.68
512                  1049.18        2049186.43
1024                 1925.74        1880605.58
2048                 3246.11        1585012.64
4096                 2921.38         713228.49
8192                 4789.00         584594.67
16384                7255.75         442856.10
32768                9402.72         286948.22
65536               10669.55         162804.41
131072              10768.31          82155.69
262144              10918.51          41650.81
524288              11020.04          21019.05
1048576             11052.93          10540.89
2097152             11087.71           5287.03
4194304             11086.81           2643.30
