# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.72
2                       0.69
4                       0.68
8                       0.68
16                      0.67
32                      0.68
64                      0.68
128                     0.80
256                     0.74
512                     0.96
1024                    1.04
2048                    1.18
4096                    2.11
8192                    2.95
16384                   4.42
32768                   6.67
65536                   9.43
131072                 15.61
262144                 27.51
524288                 51.86
1048576               111.64
2097152               228.53
4194304               460.39
