# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.71
2                       0.72
4                       0.70
8                       0.71
16                      0.70
32                      0.71
64                      0.69
128                     0.80
256                     0.74
512                     0.99
1024                    1.05
2048                    1.18
4096                    2.14
8192                    2.89
16384                   4.32
32768                   6.49
65536                   9.62
131072                 15.86
262144                 27.69
524288                 52.54
1048576               110.80
2097152               226.61
4194304               453.64
