# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.69
2                       0.69
4                       0.68
8                       0.70
16                      0.70
32                      0.70
64                      0.67
128                     0.75
256                     0.73
512                     0.97
1024                    1.05
2048                    1.21
4096                    2.12
8192                    2.93
16384                   4.35
32768                   6.54
65536                   9.59
131072                 15.69
262144                 27.70
524288                 53.68
1048576               112.34
2097152               228.62
4194304               459.76
