# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.68
2                       5.48
4                      11.07
8                      22.14
16                     44.50
32                     88.67
64                    176.96
128                   330.21
256                   606.02
512                  1021.66
1024                 1842.03
2048                 3335.04
4096                 2898.61
8192                 4717.86
16384                7218.17
32768                9340.27
65536               10593.21
131072              10715.45
262144              10868.50
524288              10955.47
1048576             10988.04
2097152             10997.39
4194304             10985.63
