# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.24
2                       4.54
4                       8.92
8                      17.93
16                     35.59
32                     69.81
64                    133.62
128                   265.01
256                   532.81
512                   947.93
1024                 1763.27
2048                 3142.26
4096                 2593.08
8192                 4221.07
16384                6837.13
32768                9055.92
65536               10187.60
131072              10523.95
262144              10708.19
524288              10862.88
1048576             10877.38
2097152             10857.40
4194304             10836.45
