# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       2.35
2                       4.74
4                       9.39
8                      18.74
16                     37.14
32                     72.72
64                    139.17
128                   274.12
256                   555.23
512                   929.41
1024                 1730.08
2048                 3239.39
4096                 2729.49
8192                 4388.44
16384                6743.53
32768                9017.18
65536               10183.37
131072              10506.00
262144              10691.18
524288              10793.62
1048576             10843.06
2097152             10831.69
4194304             10800.88
