# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.68
2                       0.70
4                       0.67
8                       0.68
16                      0.67
32                      0.68
64                      0.65
128                     0.75
256                     0.78
512                     0.97
1024                    1.03
2048                    1.19
4096                    2.03
8192                    2.90
16384                   4.33
32768                   6.44
65536                   9.60
131072                 15.84
262144                 27.63
524288                 53.06
1048576               110.22
2097152               225.83
4194304               451.73
