# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.57
2                       0.55
4                       0.53
8                       0.53
16                      0.53
32                      0.54
64                      0.54
128                     0.54
256                     0.57
512                     0.74
1024                    0.82
2048                    1.10
4096                    1.95
8192                    2.73
16384                   4.23
32768                   6.80
65536                   9.57
131072                 15.44
262144                 27.58
524288                 53.48
1048576               110.23
2097152               211.83
4194304               427.30
