# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       2.99        2993825.70
2                       6.17        3085989.06
4                      12.39        3098171.62
8                      24.97        3121076.10
16                     49.81        3113286.26
32                     98.75        3086029.39
64                    190.12        2970639.73
128                   367.13        2868197.58
256                   697.59        2724956.55
512                  1129.05        2205175.68
1024                 2025.48        1978008.62
2048                 3526.56        1721951.30
4096                 2934.38         716402.20
8192                 4733.24         577788.66
16384                7128.22         435071.82
32768                9169.41         279828.28
65536                9997.41         152548.42
131072              10622.09          81040.15
262144              10843.78          41365.74
524288              11006.22          20992.69
1048576             11069.72          10556.91
2097152             11109.40           5297.38
4194304             11057.26           2636.26
