# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.43
2                       6.87
4                      13.90
8                      27.24
16                     55.04
32                    110.10
64                    227.66
128                   436.94
256                   843.95
512                  1114.36
1024                 1995.94
2048                 3592.17
4096                 3306.71
8192                 4974.02
16384                7449.47
32768                9269.59
65536               10434.12
131072              10855.28
262144              11054.74
524288              11184.15
1048576             11126.88
2097152             11265.81
4194304             11245.00
