# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.47
2                       7.02
4                      14.07
8                      28.33
16                     56.55
32                    111.24
64                    225.51
128                   439.37
256                   841.88
512                  1148.04
1024                 1959.79
2048                 3598.83
4096                 3337.36
8192                 5098.16
16384                7624.54
32768                9400.65
65536               10442.00
131072              10865.06
262144              11048.51
524288              11163.83
1048576             11227.96
2097152             11270.92
4194304             11282.96
