# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.17
2                       6.38
4                      12.90
8                      25.29
16                     50.93
32                     99.89
64                    199.06
128                   378.98
256                   719.35
512                  1172.08
1024                 2109.55
2048                 3539.71
4096                 2985.91
8192                 4690.45
16384                7190.79
32768                9108.81
65536               10044.76
131072              10706.27
262144              10918.09
524288              11070.53
1048576             11129.94
2097152             11163.12
4194304             11171.19
