# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.53
2                       0.53
4                       0.54
8                       0.53
16                      0.54
32                      0.53
64                      0.55
128                     0.57
256                     0.58
512                     0.73
1024                    0.83
2048                    1.01
4096                    2.01
8192                    2.89
16384                   4.28
32768                   6.82
65536                   9.53
131072                 15.39
262144                 27.59
524288                 53.52
1048576               109.86
2097152               214.03
4194304               416.56
