# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.59
2                       0.59
4                       0.59
8                       0.58
16                      0.59
32                      0.59
64                      0.57
128                     0.60
256                     0.62
512                     0.78
1024                    0.87
2048                    1.03
4096                    2.01
8192                    2.92
16384                   4.40
32768                   6.93
65536                   9.69
131072                 15.48
262144                 27.48
524288                 53.13
1048576               107.30
2097152               210.56
4194304               415.36
