# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.59
2                       0.60
4                       0.59
8                       0.59
16                      0.60
32                      0.59
64                      0.59
128                     0.61
256                     0.62
512                     0.79
1024                    0.89
2048                    1.01
4096                    2.01
8192                    2.86
16384                   4.44
32768                   6.97
65536                   9.72
131072                 15.51
262144                 27.45
524288                 53.34
1048576               108.50
2097152               209.46
4194304               414.42
