# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.57
2                       0.54
4                       0.55
8                       0.57
16                      0.55
32                      0.55
64                      0.56
128                     0.56
256                     0.57
512                     0.74
1024                    0.81
2048                    1.00
4096                    1.95
8192                    2.74
16384                   4.26
32768                   6.80
65536                   9.55
131072                 15.39
262144                 27.39
524288                 54.24
1048576               111.08
2097152               213.81
4194304               416.42
