# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.13
2                       6.22
4                      12.61
8                      25.18
16                     49.52
32                     99.44
64                    191.90
128                   367.66
256                   699.36
512                  1145.29
1024                 2051.48
2048                 3540.58
4096                 2946.32
8192                 4620.77
16384                7044.50
32768                9012.17
65536                9973.50
131072              10603.21
262144              10853.60
524288              11060.14
1048576             11090.80
2097152             11145.52
4194304             11093.38
