# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.62
2                       0.60
4                       0.60
8                       0.60
16                      0.59
32                      0.60
64                      0.59
128                     0.61
256                     0.63
512                     0.76
1024                    0.85
2048                    1.04
4096                    1.96
8192                    2.75
16384                   4.26
32768                   6.83
65536                   9.47
131072                 15.41
262144                 27.34
524288                 53.09
1048576               110.47
2097152               216.83
4194304               414.63
