# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.43
2                       7.05
4                      14.10
8                      27.96
16                     55.08
32                    109.52
64                    218.79
128                   435.34
256                   831.27
512                  1123.74
1024                 1961.63
2048                 3532.84
4096                 3278.74
8192                 4916.21
16384                7378.86
32768                9194.81
65536               10395.99
131072              10806.20
262144              10983.07
524288              11135.17
1048576             11182.84
2097152             11225.83
4194304             11229.03
