# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.47
2                       6.88
4                      13.81
8                      27.89
16                     55.19
32                    113.52
64                    228.05
128                   440.04
256                   855.91
512                  1154.10
1024                 1943.74
2048                 3575.20
4096                 3315.30
8192                 5063.23
16384                7613.97
32768                9406.87
65536               10442.53
131072              10854.86
262144              11037.26
524288              11153.25
1048576             11208.59
2097152             11235.43
4194304             11240.92
