# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.15
2                       6.22
4                      12.48
8                      24.86
16                     50.54
32                     97.70
64                    194.40
128                   370.62
256                   727.49
512                  1195.76
1024                 2134.11
2048                 3654.91
4096                 3036.75
8192                 4745.15
16384                7275.17
32768                9249.36
65536               10117.93
131072              10703.65
262144              10917.31
524288              11075.90
1048576             11037.79
2097152             11143.57
4194304             11172.86
