# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.14
2                       6.29
4                      12.54
8                      24.59
16                     49.36
32                     97.19
64                    189.94
128                   371.29
256                   690.48
512                  1154.33
1024                 2050.26
2048                 3545.75
4096                 2952.68
8192                 4637.19
16384                7057.05
32768                8983.65
65536                9958.00
131072              10581.17
262144              10818.01
524288              10983.37
1048576             11030.16
2097152             11007.89
4194304             11078.69
