# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.43
2                       6.99
4                      13.96
8                      27.82
16                     54.16
32                    110.30
64                    224.82
128                   442.80
256                   828.49
512                  1129.96
1024                 1949.12
2048                 3554.98
4096                 3330.00
8192                 4988.62
16384                7492.99
32768                9286.08
65536               10438.01
131072              10857.39
262144              11072.50
524288              11213.53
1048576             11295.41
2097152             11340.68
4194304             11348.50
