# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.13
2                       6.18
4                      12.43
8                      25.18
16                     49.93
32                     98.34
64                    193.85
128                   367.45
256                   711.22
512                  1139.67
1024                 2054.13
2048                 3524.45
4096                 2931.37
8192                 4598.34
16384                7136.53
32768                9099.59
65536               10034.76
131072              10629.27
262144              10857.38
524288              11016.09
1048576             11061.36
2097152             11092.00
4194304             11066.40
