# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.64
2                       0.63
4                       0.64
8                       0.64
16                      0.62
32                      0.64
64                      0.63
128                     0.65
256                     0.68
512                     0.79
1024                    0.92
2048                    1.08
4096                    2.07
8192                    2.94
16384                   4.49
32768                   7.02
65536                   9.75
131072                 15.52
262144                 27.40
524288                 52.95
1048576               108.78
2097152               211.44
4194304               413.35
