# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.55
2                       0.56
4                       0.55
8                       0.57
16                      0.56
32                      0.55
64                      0.55
128                     0.56
256                     0.61
512                     0.76
1024                    0.85
2048                    1.08
4096                    1.99
8192                    2.80
16384                   4.31
32768                   6.84
65536                   9.57
131072                 15.46
262144                 27.56
524288                 53.64
1048576               108.62
2097152               212.69
4194304               426.64
