# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       3.39        3386139.65
2                       6.70        3349271.33
4                      13.67        3417276.60
8                      26.84        3355007.38
16                     53.67        3354222.80
32                    107.71        3366006.39
64                    217.49        3398263.35
128                   419.48        3277184.91
256                   807.85        3155648.15
512                  1242.64        2427031.95
1024                 2218.61        2166612.79
2048                 3841.13        1875553.89
4096                 3368.83         822467.71
8192                 5148.90         628528.04
16384                7710.40         470605.51
32768                9465.66         288868.96
65536               10472.47         159797.25
131072              10870.08          82932.11
262144              11073.41          42241.72
524288              11204.59          21371.05
1048576             11272.99          10750.76
2097152             11322.18           5398.83
4194304             11328.95           2701.03
