# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.59
2                       0.58
4                       0.58
8                       0.59
16                      0.57
32                      0.58
64                      0.60
128                     0.59
256                     0.59
512                     0.77
1024                    0.83
2048                    1.01
4096                    2.02
8192                    2.80
16384                   4.45
32768                   6.95
65536                   9.58
131072                 15.49
262144                 27.53
524288                 53.69
1048576               109.15
2097152               221.07
4194304               419.28
