# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.60
2                       0.58
4                       0.58
8                       0.57
16                      0.59
32                      0.58
64                      0.58
128                     0.62
256                     0.64
512                     0.77
1024                    0.90
2048                    0.99
4096                    1.99
8192                    2.86
16384                   4.40
32768                   6.92
65536                   9.68
131072                 15.46
262144                 27.36
524288                 53.71
1048576               110.09
2097152               216.09
4194304               412.09
