# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.13
2                       6.10
4                      11.68
8                      24.61
16                     47.20
32                    100.74
64                    169.73
128                   355.67
256                   712.51
512                  1115.34
1024                 2071.42
2048                 3541.92
4096                 2934.49
8192                 4609.96
16384                7046.23
32768                9021.31
65536                9971.31
131072              10636.91
262144              10837.08
524288              10992.33
1048576             10900.41
2097152             11059.21
4194304             11045.87
