# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       3.38        3375737.16
2                       6.84        3419767.42
4                      13.62        3403829.84
8                      26.15        3268383.74
16                     55.05        3440422.76
32                    109.59        3424799.01
64                    212.13        3314475.18
128                   435.05        3398809.09
256                   839.15        3277936.55
512                  1262.83        2466471.78
1024                 2249.20        2196483.63
2048                 3862.29        1885885.70
4096                 3386.15         826695.94
8192                 5154.08         629159.93
16384                7747.09         472844.88
32768                9516.02         290405.87
65536               10419.23         158984.81
131072              10931.14          83398.00
262144              11102.07          42351.02
524288              11206.37          21374.45
1048576             11257.10          10735.61
2097152             11288.84           5382.94
4194304             11292.34           2692.30
