# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.60
2                       0.60
4                       0.58
8                       0.59
16                      0.58
32                      0.59
64                      0.59
128                     0.59
256                     0.69
512                     0.80
1024                    0.92
2048                    1.05
4096                    2.02
8192                    2.91
16384                   4.40
32768                   6.95
65536                   9.68
131072                 15.42
262144                 27.32
524288                 52.76
1048576               107.58
2097152               208.08
4194304               412.34
