# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.56
2                       7.12
4                      13.92
8                      27.76
16                     56.52
32                    115.39
64                    232.37
128                   429.46
256                   875.87
512                  1138.94
1024                 1970.78
2048                 3632.65
4096                 3380.38
8192                 5148.23
16384                7703.88
32768                9495.05
65536               10491.78
131072              10924.01
262144              11110.95
524288              11229.21
1048576             11280.37
2097152             11321.10
4194304             11304.74
