# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.63
2                       0.62
4                       0.63
8                       0.63
16                      0.63
32                      0.61
64                      0.61
128                     0.62
256                     0.66
512                     0.79
1024                    0.92
2048                    1.04
4096                    2.04
8192                    2.89
16384                   4.42
32768                   6.94
65536                   9.74
131072                 15.53
262144                 27.45
524288                 53.14
1048576               107.93
2097152               210.92
4194304               413.10
