# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.59
2                       0.58
4                       0.58
8                       0.59
16                      0.57
32                      0.57
64                      0.58
128                     0.59
256                     0.69
512                     0.78
1024                    0.90
2048                    1.03
4096                    1.99
8192                    2.81
16384                   4.36
32768                   6.86
65536                   9.63
131072                 15.43
262144                 27.33
524288                 52.48
1048576               106.51
2097152               210.12
4194304               412.21
