# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.56
2                       0.55
4                       0.56
8                       0.56
16                      0.54
32                      0.55
64                      0.56
128                     0.57
256                     0.59
512                     0.75
1024                    0.84
2048                    1.04
4096                    2.01
8192                    2.79
16384                   4.33
32768                   6.89
65536                   9.57
131072                 15.47
262144                 27.63
524288                 53.90
1048576               110.48
2097152               218.55
4194304               418.41
