# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.19
2                       6.28
4                      12.81
8                      25.04
16                     51.60
32                     94.73
64                    195.10
128                   382.19
256                   691.18
512                  1144.29
1024                 2075.27
2048                 3461.36
4096                 2991.55
8192                 4680.89
16384                7119.22
32768                9057.58
65536                9992.08
131072              10620.17
262144              10851.94
524288              11066.47
1048576             11088.78
2097152             11137.65
4194304             11121.35
