# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.57
2                       0.55
4                       0.54
8                       0.55
16                      0.55
32                      0.54
64                      0.55
128                     0.58
256                     0.61
512                     0.74
1024                    0.84
2048                    1.05
4096                    1.99
8192                    2.79
16384                   4.30
32768                   6.86
65536                   9.57
131072                 15.42
262144                 27.52
524288                 53.52
1048576               109.97
2097152               215.03
4194304               416.45
