# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.57
2                       0.54
4                       0.53
8                       0.54
16                      0.55
32                      0.54
64                      0.55
128                     0.57
256                     0.59
512                     0.76
1024                    0.85
2048                    1.07
4096                    1.97
8192                    2.77
16384                   4.39
32768                   6.90
65536                   9.56
131072                 15.47
262144                 27.62
524288                 53.18
1048576               109.51
2097152               213.95
4194304               417.84
