# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       3.38        3380376.38
2                       6.80        3400098.88
4                      13.28        3320979.12
8                      27.34        3417886.51
16                     53.78        3361060.51
32                    110.53        3454083.41
64                    219.43        3428619.86
128                   434.89        3397563.02
256                   837.74        3272421.97
512                  1277.37        2494855.34
1024                 2260.96        2207965.74
2048                 3932.85        1920338.82
4096                 3412.61         833157.87
8192                 5199.85         634746.78
16384                7761.58         473729.33
32768                9553.07         291536.51
65536               10536.78         160778.58
131072              10943.57          83492.78
262144              11119.70          42418.30
524288              11238.99          21436.68
1048576             11297.79          10774.41
2097152             11319.92           5397.76
4194304             11320.19           2698.94
