# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.53
2                       0.52
4                       0.53
8                       0.54
16                      0.53
32                      0.52
64                      0.55
128                     0.57
256                     0.59
512                     0.73
1024                    0.85
2048                    1.04
4096                    1.98
8192                    2.75
16384                   4.28
32768                   6.82
65536                   9.57
131072                 15.47
262144                 27.52
524288                 53.11
1048576               110.42
2097152               216.30
4194304               415.38
