# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.58
2                       0.56
4                       0.57
8                       0.57
16                      0.57
32                      0.56
64                      0.59
128                     0.60
256                     0.62
512                     0.81
1024                    0.87
2048                    1.05
4096                    2.05
8192                    2.86
16384                   4.34
32768                   6.85
65536                   9.55
131072                 15.50
262144                 27.76
524288                 53.44
1048576               110.42
2097152               213.00
4194304               419.74
