# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.58
2                       0.57
4                       0.57
8                       0.59
16                      0.57
32                      0.58
64                      0.58
128                     0.59
256                     0.63
512                     0.79
1024                    0.90
2048                    1.12
4096                    2.04
8192                    2.84
16384                   4.45
32768                   6.90
65536                   9.66
131072                 15.62
262144                 27.88
524288                 53.76
1048576               109.91
2097152               215.67
4194304               419.76
