# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.61
2                       0.60
4                       0.59
8                       0.59
16                      0.62
32                      0.60
64                      0.61
128                     0.62
256                     0.61
512                     0.78
1024                    0.90
2048                    1.05
4096                    2.02
8192                    2.92
16384                   4.47
32768                   7.01
65536                   9.73
131072                 15.54
262144                 27.66
524288                 53.25
1048576               107.81
2097152               211.35
4194304               415.07
