# OSU MPI Latency Test v7.2
# Size          Latency (us)
# Datatype: MPI_CHAR.
1                       0.61
2                       0.60
4                       0.60
8                       0.61
16                      0.60
32                      0.62
64                      0.61
128                     0.62
256                     0.63
512                     0.75
1024                    0.91
2048                    1.03
4096                    2.07
8192                    2.90
16384                   4.45
32768                   6.98
65536                   9.75
131072                 15.56
262144                 27.54
524288                 54.09
1048576               110.02
2097152               212.17
4194304               413.98
