# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.62
2                       7.00
4                      14.07
8                      28.73
16                     51.15
32                    113.13
64                    226.46
128                   449.64
256                   852.28
512                  1144.65
1024                 1943.62
2048                 3565.09
4096                 3378.37
8192                 5139.36
16384                7694.20
32768                9490.49
65536               10502.34
131072              10921.96
262144              11104.97
524288              11233.30
1048576             11292.81
2097152             11330.27
4194304             11330.31
