# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.37
2                       6.77
4                      13.70
8                      28.07
16                     53.05
32                    108.43
64                    219.04
128                   425.39
256                   812.52
512                  1150.58
1024                 1988.07
2048                 3618.72
4096                 3336.59
8192                 5004.31
16384                7525.86
32768                9319.35
65536               10475.78
131072              10886.88
262144              11113.29
524288              11245.41
1048576             11321.62
2097152             11363.09
4194304             11367.87
