# OSU MPI Bandwidth Test v7.2
# Size      Bandwidth (MB/s)
# Datatype: MPI_CHAR.
1                       3.44
2                       6.84
4                      13.22
8                      27.86
16                     55.34
32                    108.82
64                    216.04
128                   423.28
256                   823.26
512                  1123.84
1024                 1998.20
2048                 3565.00
4096                 3280.25
8192                 4908.67
16384                7430.22
32768                9240.17
65536               10382.40
131072              10812.91
262144              11010.74
524288              11144.79
1048576             11084.43
2097152             11237.99
4194304             11244.04
