# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       2.96        2961445.91
2                       5.98        2989617.76
4                      11.90        2975429.46
8                      23.82        2977949.08
16                     47.36        2960015.83
32                     95.64        2988817.34
64                    185.95        2905516.46
128                   353.55        2762138.84
256                   680.79        2659320.85
512                  1095.68        2140002.22
1024                 1995.04        1948281.76
2048                 3510.34        1714030.92
4096                 2897.33         707356.67
8192                 4681.47         571468.95
16384                7127.75         435043.56
32768                9058.90         276455.62
65536                9899.44         151053.44
131072              10558.82          80557.39
262144              10790.03          41160.68
524288              10951.14          20887.64
1048576             11011.10          10501.00
2097152             11008.04           5249.04
4194304             11061.16           2637.19
