# OSU MPI Multiple Bandwidth / Message Rate Test v7.2
# OSU MPI Multiple Bandwidth / Message Rate Test v7.2

# [ pairs: 1 ] [ window size: 64 ]
# Size                  MB/s        Messages/s
# Datatype: MPI_CHAR.
1                       2.96        2964222.07
2                       5.77        2882825.49
4                      11.69        2923716.94
8                      23.80        2975005.12
16                     46.84        2927253.45
32                     92.69        2896607.98
64                    181.81        2840818.42
128                   351.23        2743946.02
256                   682.01        2664117.11
512                  1083.55        2116306.38
1024                 1991.42        1944749.37
2048                 3470.60        1694630.14
4096                 2887.61         704983.15
8192                 4663.36         569258.04
16384                7064.57         431187.15
32768                9085.86         277278.57
65536                9917.75         151332.85
131072              10528.70          80327.64
262144              10742.92          40981.00
524288              10894.69          20779.98
1048576             10961.09          10453.31
2097152             11015.51           5252.60
4194304             11005.05           2623.81
